N,P,K,temperature,humidity,ph,rainfall,label
41,62,19,26.98,63.9,6.94,75.4,blackgram
61,47,17,20.29,65.9,6.76,103.77,maize
23,56,22,29.0,83.84,6.53,64.71,mungbean
66,30,21,27.49,64.97,6.54,91.23,maize
18,70,19,26.65,47.15,6.13,109.66,pigeonpeas
20,10,26,28.96,94.14,5.6,159.58,coconut
93,8,52,31.74,90.44,5.9,28.16,muskmelon
75,47,21,22.86,58.32,6.35,99.16,maize
25,64,23,29.33,60.77,7.28,66.69,blackgram
95,32,34,23.77,62.99,6.68,184.23,coffee
21,119,209,23.15,82.64,5.61,71.6,grapes
17,55,25,27.7,88.41,6.35,57.55,mungbean
103,30,18,25.02,57.81,7.18,160.95,coffee
13,73,18,23.44,27.98,5.57,101.76,kidneybeans
142,52,19,23.89,77.9,7.03,79.44,cotton
19,112,193,21.98,90.51,6.02,116.62,apple
116,83,53,25.74,86.43,5.92,109.16,banana
38,60,28,27.85,62.86,7.12,76.0,blackgram
95,10,49,27.38,80.41,6.05,51.81,watermelon
27,9,30,28.45,96.11,5.82,176.93,coconut
10,64,25,22.97,56.98,6.62,37.85,lentil
17,15,14,21.09,90.49,6.7,100.56,orange
53,76,54,33.32,92.01,6.64,130.75,papaya
16,66,23,27.89,47.34,6.19,117.95,pigeonpeas
18,10,11,19.45,93.87,7.49,107.41,orange
76,45,32,21.94,76.45,7.03,258.07,rice
100,8,45,30.41,88.41,6.03,19.48,muskmelon
15,81,22,27.03,55.68,5.56,123.51,pigeonpeas
109,3,48,27.37,89.89,6.42,30.6,muskmelon
21,10,28,25.34,92.83,5.66,183.1,coconut
81,44,40,24.62,73.0,6.85,148.43,jute
113,92,57,27.58,80.16,6.26,115.98,banana
41,60,25,28.73,64.79,7.17,64.09,blackgram
57,55,49,35.07,95.52,6.64,174.4,papaya
92,90,47,24.03,69.75,6.38,114.25,banana
123,62,25,22.85,81.27,6.57,92.37,cotton
103,14,57,25.44,85.42,6.83,34.99,watermelon
12,5,9,22.02,94.55,7.23,119.08,orange
86,27,39,27.71,55.43,6.86,159.96,coffee
54,66,78,18.46,16.09,7.24,55.76,chickpea
79,46,35,22.35,85.78,6.65,200.67,rice
18,42,20,31.31,48.7,7.2,36.1,mothbeans
15,6,9,19.9,94.72,7.12,108.95,orange
17,25,33,32.01,43.38,5.63,108.16,mango
93,23,37,22.65,47.66,6.45,129.19,coffee
22,30,19,28.29,52.25,7.08,55.83,mothbeans
31,68,20,27.84,64.12,7.12,73.6,blackgram
11,10,48,21.8,89.12,6.31,123.48,pomegranate
72,56,17,19.68,57.22,6.44,70.79,maize
19,43,15,28.69,60.56,6.06,49.68,mothbeans
114,54,15,23.16,71.14,6.79,89.63,cotton
31,49,48,34.64,93.47,6.94,139.25,papaya
13,72,24,32.04,47.98,6.2,151.4,pigeonpeas
21,38,23,29.14,44.48,6.18,48.55,mothbeans
15,61,19,18.57,24.05,6.25,101.3,kidneybeans
118,27,24,25.22,46.87,6.79,176.42,coffee
44,73,27,34.37,61.57,7.49,73.83,blackgram
24,66,20,24.24,65.64,6.45,41.94,lentil
14,9,30,26.14,99.88,5.75,198.59,coconut
79,59,40,21.78,89.62,6.66,198.88,rice
18,8,9,21.51,92.84,6.49,125.56,orange
129,6,44,28.97,98.35,6.05,23.67,muskmelon
120,12,45,24.94,83.09,6.96,35.8,watermelon
23,67,19,20.04,23.64,5.45,126.71,kidneybeans
95,12,52,23.87,81.5,6.06,51.88,watermelon
110,75,54,28.41,89.26,5.87,88.54,banana
24,64,21,27.12,51.62,5.54,141.7,pigeonpeas
7,28,18,30.19,40.17,5.6,55.71,mothbeans
107,67,53,26.53,83.54,6.23,129.12,banana
75,64,33,27.92,86.08,7.37,143.24,jute
131,49,20,26.89,82.9,7.47,47.1,cotton
25,8,38,23.04,88.42,6.5,115.98,pomegranate
24,65,11,26.75,44.81,5.35,115.25,pigeonpeas
46,60,82,19.51,20.18,7.83,85.89,chickpea
77,57,17,22.43,73.85,5.95,117.19,maize
21,11,25,24.67,95.56,5.95,218.14,coconut
27,12,36,20.89,90.44,6.29,135.39,pomegranate
74,45,28,20.47,88.83,6.99,222.53,rice
18,80,22,27.23,47.4,5.86,148.57,pigeonpeas
26,129,212,22.82,87.0,5.73,63.86,grapes
39,76,19,31.46,66.76,7.1,67.29,blackgram
19,8,31,28.02,93.85,6.05,199.72,coconut
38,66,85,19.69,8.18,7.2,82.92,chickpea
44,73,16,26.99,61.27,6.8,77.53,blackgram
17,11,30,24.06,95.92,5.67,193.78,coconut
80,43,16,24.24,68.25,6.16,117.7,maize
100,74,53,30.36,81.71,6.58,82.12,banana
23,51,20,27.32,49.85,6.75,54.58,mothbeans
99,86,43,25.52,79.42,6.57,103.29,banana
31,61,15,20.61,24.16,5.73,131.8,kidneybeans
26,10,46,18.78,88.67,6.41,108.28,pomegranate
43,67,75,19.15,13.46,7.36,73.03,chickpea
23,13,23,29.18,97.09,5.72,206.97,coconut
17,9,6,21.03,88.61,6.96,93.9,orange
23,71,19,25.82,45.57,6.21,164.58,pigeonpeas
94,78,51,27.91,64.78,6.31,126.55,banana
84,72,54,28.75,81.82,5.48,99.62,banana
21,136,209,25.34,86.15,6.2,124.76,apple
19,73,16,19.23,24.09,6.05,105.59,kidneybeans
102,10,51,28.31,92.03,6.12,21.24,muskmelon
24,49,25,30.55,81.73,6.71,49.53,mungbean
11,38,20,26.21,50.57,6.81,30.31,mothbeans
22,15,35,28.07,97.06,5.89,164.83,coconut
67,35,17,22.41,66.22,6.1,95.28,maize
10,134,183,20.58,92.0,5.97,88.82,apple
10,7,22,26.07,95.91,5.93,163.2,coconut
20,91,21,19.37,24.77,5.94,116.3,kidneybeans
15,58,21,26.89,53.01,6.6,42.18,mothbeans
15,47,21,32.69,77.44,7.05,59.73,mungbean
15,72,22,24.84,65.76,6.31,54.68,lentil
110,12,49,22.99,82.0,6.58,53.42,watermelon
23,48,23,29.54,85.13,6.61,49.19,mungbean
16,71,13,26.33,49.84,5.64,121.27,pigeonpeas
14,54,14,24.79,46.45,6.78,129.48,pigeonpeas
20,63,19,27.66,39.36,6.18,120.41,pigeonpeas
11,66,24,20.04,22.69,5.42,100.75,kidneybeans
76,49,23,20.87,66.84,6.04,90.43,maize
85,45,49,26.48,86.23,6.62,196.16,jute
29,43,80,22.1,20.72,7.06,72.63,chickpea
18,129,212,23.17,93.5,6.15,123.27,apple
20,6,10,22.99,92.39,6.94,127.07,orange
126,50,26,24.81,79.29,6.74,68.84,cotton
77,50,35,24.54,89.66,6.47,242.05,rice
20,8,30,27.24,93.09,5.88,176.55,coconut
18,147,206,24.52,81.61,5.97,67.37,grapes
14,59,18,22.62,57.26,6.71,58.37,lentil
117,13,54,25.26,89.54,6.43,49.69,watermelon
26,142,202,19.71,78.31,6.04,65.0,grapes
17,140,183,24.54,80.85,5.7,95.86,grapes
24,68,21,30.75,65.84,7.35,64.6,blackgram
23,11,44,22.16,98.81,6.19,84.34,pomegranate
55,80,77,16.26,17.42,6.47,84.85,chickpea
18,12,29,26.63,92.5,6.24,161.96,coconut
64,35,24,22.08,61.65,6.62,80.92,maize
15,49,18,24.04,63.58,6.24,34.8,lentil
27,121,198,22.14,78.5,5.87,81.08,grapes
107,9,49,23.29,84.1,6.27,53.83,watermelon
83,42,35,25.95,81.09,6.56,146.23,jute
108,30,31,27.23,58.45,7.1,172.28,coffee
103,34,30,21.87,49.5,7.02,148.6,coffee
18,68,15,19.4,21.85,6.59,93.32,kidneybeans
72,59,32,24.33,76.52,6.45,169.4,jute
15,46,20,26.95,54.76,6.97,50.39,mothbeans
17,67,21,19.03,19.97,5.81,93.69,kidneybeans
92,92,59,26.92,86.25,5.68,121.13,banana
18,65,22,20.67,22.95,5.94,86.97,kidneybeans
24,11,38,30.37,94.32,6.75,175.49,coconut
54,66,40,32.67,94.85,6.88,127.05,papaya
47,56,49,32.84,87.78,6.64,143.54,papaya
17,49,22,29.5,80.61,6.92,43.62,mungbean
17,25,40,31.01,53.68,5.8,67.28,mango
20,12,42,21.38,84.9,6.26,112.82,pomegranate
112,11,46,27.9,88.62,6.58,41.0,watermelon
27,75,20,23.52,23.12,5.92,109.2,kidneybeans
67,45,18,22.13,65.28,6.41,88.94,maize
27,132,178,23.23,92.73,5.82,118.6,apple
39,73,23,28.5,55.16,6.99,72.94,blackgram
47,65,75,14.2,14.84,6.94,65.19,chickpea
15,129,207,25.8,82.43,6.13,70.85,grapes
18,135,185,20.27,78.63,6.82,75.3,grapes
113,76,52,26.78,79.08,5.77,129.98,banana
123,62,24,23.54,82.36,6.91,110.82,cotton
71,45,42,22.37,77.89,6.57,237.35,rice
20,12,37,21.78,89.86,6.22,108.29,pomegranate
16,47,16,23.5,86.0,6.88,52.62,mungbean
95,105,53,31.74,86.98,6.07,109.52,banana
77,42,37,29.09,81.13,6.2,164.6,jute
15,38,21,26.81,85.51,6.56,32.19,mungbean
77,53,16,23.26,65.83,6.4,94.34,maize
39,64,85,20.4,14.68,7.12,65.43,chickpea
43,60,77,19.94,15.88,7.52,74.01,chickpea
33,64,85,18.73,12.69,7.28,69.98,chickpea
22,133,197,26.16,93.48,5.71,113.72,apple
66,62,45,22.56,73.43,6.91,226.56,rice
19,56,17,17.99,22.62,5.82,99.17,kidneybeans
57,72,64,34.0,90.01,6.94,141.01,papaya
98,32,25,25.05,56.99,6.43,151.6,coffee
41,56,18,31.68,59.74,6.24,67.73,blackgram
23,84,16,20.95,19.22,5.97,96.22,kidneybeans
21,30,34,30.51,51.42,6.19,112.48,mango
14,29,42,33.06,45.68,6.25,90.25,mango
24,12,31,23.54,93.45,5.65,134.7,coconut
52,48,45,31.88,90.01,6.39,148.05,papaya
19,135,194,23.04,87.47,5.79,99.84,apple
33,62,85,17.83,15.79,6.71,86.35,chickpea
14,10,41,19.15,92.78,5.97,101.33,pomegranate
35,66,77,21.4,17.98,7.09,89.33,chickpea
103,10,51,29.48,92.17,6.3,30.98,muskmelon
4,145,211,26.51,95.71,6.47,123.18,apple
91,10,55,26.16,91.55,5.78,23.03,muskmelon
95,15,43,26.52,89.94,6.05,23.66,muskmelon
23,24,25,30.49,51.2,6.39,64.29,mango
20,26,46,32.85,47.95,5.38,66.8,mango
111,61,15,25.44,79.49,7.57,85.11,cotton
21,3,24,27.34,95.27,5.93,182.38,coconut
23,13,35,21.01,90.88,6.71,79.58,pomegranate
85,46,38,25.7,86.13,6.74,269.16,rice
103,7,47,28.15,87.4,5.79,22.0,muskmelon
101,24,30,20.9,58.85,6.07,181.76,coffee
35,54,49,34.01,88.06,6.76,134.24,papaya
18,61,21,26.27,47.84,6.81,54.73,mothbeans
87,36,12,24.37,58.17,6.11,72.45,maize
18,28,25,31.71,50.75,5.2,109.94,mango
98,14,53,29.11,90.8,6.13,32.03,muskmelon
21,66,17,29.6,58.28,5.81,127.76,pigeonpeas
21,46,22,28.27,83.08,6.86,58.76,mungbean
97,25,34,25.89,69.28,6.85,148.98,coffee
11,122,197,25.5,82.57,6.64,59.64,grapes
16,8,24,23.38,96.44,6.07,175.21,coconut
111,48,23,23.3,68.74,6.94,77.66,cotton
16,71,17,27.62,52.23,5.86,143.41,pigeonpeas
82,41,32,22.21,76.59,7.01,256.45,rice
28,135,193,25.15,91.9,6.07,109.36,apple
17,7,34,21.42,85.58,6.78,110.83,pomegranate
103,26,28,27.81,54.54,7.03,190.23,coffee
37,55,84,18.34,16.46,7.96,84.48,chickpea
132,60,17,24.22,83.37,7.45,90.78,cotton
83,50,36,25.01,87.64,6.51,135.97,jute
15,29,29,31.15,56.69,5.52,74.76,mango
96,65,55,25.45,75.73,5.88,109.08,banana
43,59,45,36.62,94.37,6.96,163.54,papaya
15,132,210,18.75,93.57,5.84,107.11,apple
32,80,78,20.93,21.56,7.3,73.53,chickpea
86,52,38,24.15,75.74,6.78,224.45,rice
19,78,16,24.71,47.08,6.42,109.61,pigeonpeas
12,46,20,28.35,38.78,6.44,49.36,mothbeans
5,41,16,27.99,82.31,6.94,31.41,mungbean
84,42,30,24.56,73.22,6.86,151.26,jute
12,16,39,21.38,91.76,6.79,124.19,pomegranate
23,139,203,16.44,82.05,6.49,75.27,grapes
21,46,17,26.56,58.25,6.8,57.82,mothbeans
77,36,38,24.8,76.86,7.01,193.39,jute
84,64,19,20.9,58.1,5.91,89.5,maize
15,8,18,30.21,98.19,5.7,170.44,coconut
77,55,19,23.03,66.61,5.93,104.88,maize
36,68,83,15.61,10.11,6.83,61.69,chickpea
88,83,42,27.08,72.89,6.14,91.13,banana
72,47,34,22.39,76.01,7.09,231.06,rice
12,14,35,26.44,95.61,6.0,214.45,coconut
70,57,38,26.69,82.68,6.54,163.26,jute
21,25,32,30.41,47.48,5.19,108.89,mango
110,13,55,26.5,88.33,5.97,31.67,muskmelon
16,135,189,22.95,91.7,6.06,103.1,apple
110,89,53,30.64,79.58,6.19,96.23,banana
23,70,15,25.58,49.39,6.04,117.4,pigeonpeas
43,69,23,31.58,69.85,7.1,56.11,blackgram
20,9,13,18.57,85.15,6.94,117.03,orange
38,64,72,19.53,15.4,6.65,36.92,chickpea
99,10,48,25.95,83.22,6.88,48.86,watermelon
79,83,50,26.84,84.96,6.22,109.47,banana
19,144,202,20.91,89.87,6.18,129.48,apple
41,75,72,14.98,12.42,7.38,71.72,chickpea
109,30,20,24.82,69.52,6.91,167.36,coffee
10,64,20,28.4,47.45,6.01,90.23,pigeonpeas
9,10,6,23.01,88.57,6.64,134.07,orange
20,139,183,25.04,87.32,6.64,103.83,apple
16,10,27,24.13,99.38,5.65,179.4,coconut
60,55,53,33.82,87.09,6.52,142.75,papaya
85,12,50,26.71,85.19,6.67,41.86,watermelon
19,52,22,30.44,53.29,7.15,46.85,mothbeans
37,64,53,32.63,87.51,6.8,144.88,papaya
49,63,79,18.53,14.65,7.19,78.19,chickpea
19,8,49,25.17,87.4,6.67,121.24,pomegranate
30,76,79,19.84,13.78,6.53,92.27,chickpea
57,63,46,36.17,87.93,6.77,159.5,papaya
29,77,20,19.89,58.19,7.88,47.69,lentil
22,121,199,22.43,90.42,5.69,105.71,apple
19,9,40,21.65,88.7,6.88,92.46,pomegranate
39,82,88,17.59,15.19,7.14,65.02,chickpea
10,29,28,32.13,52.92,6.31,72.39,mango
49,78,79,14.26,15.18,7.39,79.66,chickpea
22,8,38,22.08,86.51,6.39,97.11,pomegranate
89,6,53,22.93,84.01,6.64,49.34,watermelon
21,71,21,20.15,24.23,5.94,91.44,kidneybeans
25,50,23,29.08,79.21,6.3,34.48,mungbean
98,10,50,28.5,88.73,6.63,26.48,muskmelon
108,9,56,27.77,85.31,6.36,40.27,watermelon
13,66,22,19.74,26.53,5.36,109.82,kidneybeans
113,9,39,29.36,95.82,6.58,21.69,muskmelon
23,25,29,31.68,50.54,6.2,104.66,mango
89,42,38,22.72,74.68,6.59,237.83,rice
44,68,23,31.97,58.0,7.18,67.94,blackgram
40,69,76,17.87,18.85,7.36,77.91,chickpea
124,83,47,24.65,82.34,6.53,101.29,banana
33,68,15,32.3,63.97,7.34,64.73,blackgram
15,58,23,28.18,45.31,6.09,119.48,pigeonpeas
44,53,48,33.84,91.05,7.15,152.62,papaya
28,68,20,28.89,43.65,6.68,144.05,pigeonpeas
12,40,18,24.43,85.24,6.63,33.27,mungbean
21,6,36,21.43,94.83,6.34,147.72,coconut
120,40,11,26.7,83.6,7.16,70.89,cotton
25,132,194,26.38,83.94,5.73,56.72,grapes
21,126,177,22.06,92.7,5.88,85.02,apple
20,67,19,23.88,52.26,6.91,49.6,lentil
89,74,47,25.49,81.12,5.42,88.23,banana
89,48,37,24.64,71.27,6.75,188.77,jute
25,138,189,23.18,88.17,6.27,108.89,apple
21,6,38,21.42,86.7,7.04,97.2,pomegranate
17,133,195,20.32,100.0,5.85,76.74,apple
19,49,22,29.55,84.05,6.64,55.1,mungbean
88,4,55,25.91,91.46,6.53,21.93,muskmelon
92,23,38,27.42,48.69,6.57,164.85,coffee
99,30,29,24.82,57.63,6.81,153.9,coffee
27,58,20,25.31,47.06,5.67,127.84,pigeonpeas
76,54,47,26.6,84.61,7.08,186.03,jute
24,64,18,20.53,20.69,5.78,141.5,kidneybeans
112,69,45,22.43,76.09,6.23,98.79,banana
82,50,22,25.83,70.07,5.46,70.81,maize
74,44,35,21.52,85.7,7.09,149.53,jute
102,42,18,21.25,62.22,5.95,107.84,maize
32,80,21,27.64,48.94,5.62,141.55,pigeonpeas
14,24,33,28.55,55.29,5.59,89.17,mango
27,61,24,21.0,17.8,5.91,78.5,kidneybeans
25,5,36,19.5,84.74,6.53,137.09,pomegranate
100,13,48,26.26,84.88,6.47,52.59,watermelon
38,81,19,29.96,62.59,7.33,89.6,blackgram
74,49,18,25.01,60.53,6.13,83.4,maize
79,38,36,23.59,77.7,6.38,260.19,rice
16,52,21,30.14,42.0,5.87,58.58,mothbeans
14,52,21,16.87,22.29,5.72,120.19,kidneybeans
18,23,43,31.98,45.75,6.15,106.54,mango
127,47,17,22.16,87.93,7.29,109.15,cotton
52,51,46,31.78,89.83,6.7,141.0,papaya
26,51,17,27.38,44.93,6.52,59.79,mothbeans
121,51,16,24.72,78.86,7.08,69.13,cotton
32,52,20,30.86,96.72,6.96,59.49,mungbean
20,12,4,22.76,91.79,7.22,107.18,orange
74,43,46,22.46,76.66,6.63,174.69,jute
34,53,17,27.22,73.52,6.97,66.54,blackgram
23,57,25,30.19,90.81,6.53,38.44,mungbean
95,36,32,25.83,67.93,6.1,143.69,coffee
96,93,40,22.86,80.45,5.87,105.12,banana
16,74,22,31.2,49.12,6.27,141.96,pigeonpeas
43,50,51,33.28,91.41,7.22,153.24,papaya
20,101,195,23.4,93.06,6.27,104.19,apple
16,10,43,23.43,86.32,7.16,121.51,pomegranate
78,41,20,19.39,66.65,6.53,60.09,maize
11,41,32,31.92,53.08,6.08,92.89,mango
21,5,39,26.79,94.71,5.71,175.48,coconut
12,133,205,24.83,92.54,5.6,95.61,apple
17,72,15,24.87,62.26,7.48,42.29,lentil
83,37,35,27.28,81.55,6.63,157.83,jute
14,52,18,27.74,48.36,6.2,42.21,mothbeans
7,79,22,21.5,52.61,7.47,42.63,lentil
26,4,33,24.47,98.77,5.54,198.05,coconut
34,46,23,33.08,62.23,6.92,62.46,blackgram
71,33,51,24.12,85.68,6.58,205.77,jute
18,52,15,28.95,87.76,6.9,30.63,mungbean
112,53,15,25.25,88.91,7.17,89.57,cotton
101,12,53,24.55,83.4,6.69,57.15,watermelon
21,127,198,25.23,90.68,6.18,110.56,apple
25,125,195,19.51,79.77,6.21,70.08,grapes
18,8,26,27.27,94.35,6.15,142.55,coconut
21,141,209,22.99,86.06,5.05,90.52,grapes
102,8,45,23.31,93.31,6.42,30.74,watermelon
79,31,39,20.89,85.35,6.61,201.8,rice
17,24,32,34.12,55.86,5.3,114.34,mango
14,31,37,35.31,64.33,5.44,137.36,mango
101,30,27,28.1,56.0,6.21,152.17,coffee
25,10,38,21.42,90.06,6.26,118.68,pomegranate
105,85,54,27.79,78.44,5.76,101.27,banana
20,141,223,21.45,84.4,6.31,80.73,grapes
78,55,38,22.05,79.18,6.54,184.84,jute
11,5,10,18.52,98.32,6.38,98.0,orange
110,42,16,23.05,77.02,6.29,90.5,cotton
26,28,31,33.12,46.38,5.82,96.88,mango
49,70,46,32.98,84.99,7.32,128.94,papaya
99,13,46,32.23,89.99,6.33,23.59,muskmelon
19,30,20,30.86,40.63,6.57,53.29,mothbeans
64,59,40,24.21,78.11,6.2,186.87,jute
42,66,88,19.48,19.2,7.2,97.6,chickpea
17,50,22,27.55,53.33,7.38,40.84,mothbeans
20,11,52,19.51,86.64,6.27,110.48,pomegranate
106,14,44,28.68,85.85,6.5,46.02,watermelon
23,54,17,28.84,43.72,6.84,37.36,mothbeans
137,43,17,24.59,83.58,7.27,65.57,cotton
56,63,60,33.59,93.73,6.36,132.63,papaya
100,12,58,26.96,84.75,6.91,28.08,watermelon
18,32,18,25.92,44.96,6.75,59.58,mothbeans
87,57,35,25.43,84.06,6.75,286.9,rice
30,12,39,25.74,96.4,6.4,157.07,coconut
17,48,18,23.99,46.06,6.68,56.34,mothbeans
18,48,23,30.54,47.45,6.64,49.44,mothbeans
91,60,20,20.99,67.3,5.93,120.2,maize
74,44,41,20.6,74.96,6.28,223.6,rice
71,42,22,21.91,71.24,5.93,94.18,maize
19,8,24,26.69,95.83,6.16,218.41,coconut
18,8,10,20.73,92.99,6.84,117.03,orange
17,9,44,19.97,89.21,6.61,80.88,pomegranate
18,65,23,21.12,18.67,5.87,117.47,kidneybeans
104,11,51,27.49,86.73,6.41,45.37,watermelon
18,47,19,30.94,79.62,6.47,60.36,mungbean
38,69,22,31.28,66.29,7.36,54.81,blackgram
92,50,36,26.6,82.58,6.85,232.03,rice
78,40,33,25.35,91.55,6.08,246.89,rice
114,42,15,25.98,79.13,6.63,67.6,cotton
105,50,16,25.26,76.89,6.68,91.99,cotton
11,59,19,25.57,52.53,5.71,183.3,pigeonpeas
31,13,10,25.1,87.09,7.76,101.15,orange
49,61,23,28.9,58.32,7.22,82.91,blackgram
16,71,21,25.78,51.53,7.2,44.3,lentil
110,88,49,21.09,76.79,5.81,90.33,banana
14,28,37,33.74,51.15,5.67,99.03,mango
75,55,23,20.04,67.99,6.48,85.54,maize
21,139,174,23.86,91.98,6.26,123.72,apple
12,7,29,18.65,90.54,5.91,87.78,pomegranate
21,28,37,31.99,47.98,5.8,96.77,mango
121,48,18,25.65,70.69,6.84,72.73,cotton
26,54,22,26.57,84.6,6.61,39.94,mungbean
20,58,25,31.29,50.78,6.41,143.51,pigeonpeas
38,73,81,17.0,16.04,6.76,96.14,chickpea
20,111,199,22.96,91.74,5.83,95.8,apple
103,36,27,27.05,59.53,7.19,171.52,coffee
26,69,14,25.27,49.07,6.12,138.87,pigeonpeas
78,46,35,25.54,91.31,6.65,166.33,jute
88,55,38,21.98,81.23,6.52,145.2,jute
70,40,45,21.34,88.09,6.7,159.55,jute
60,51,43,33.49,85.52,7.17,163.31,papaya
25,71,17,28.86,60.97,6.74,59.64,lentil
17,122,211,18.89,83.69,6.27,61.2,grapes
82,58,31,23.87,83.3,6.73,192.89,rice
15,6,11,20.61,87.29,7.29,130.93,orange
17,50,21,28.3,84.71,6.82,47.69,mungbean
15,27,31,30.95,52.93,5.91,122.49,mango
13,72,21,18.61,23.75,5.88,101.92,kidneybeans
19,131,204,25.18,82.71,5.52,60.62,grapes
14,59,18,31.41,84.61,6.15,58.92,mungbean
16,14,13,24.07,90.65,6.74,101.13,orange
13,64,20,26.59,48.91,5.96,138.38,pigeonpeas
112,74,43,29.36,83.66,6.38,117.01,banana
75,53,51,23.86,83.24,6.36,204.5,rice
26,74,19,26.66,39.87,5.57,178.23,pigeonpeas
33,10,45,21.96,91.5,6.4,112.93,pomegranate
94,37,25,25.03,51.92,6.4,190.95,coffee
85,10,51,30.27,97.35,5.89,24.74,muskmelon
29,76,21,28.53,64.29,7.48,77.34,blackgram
53,71,53,35.12,92.88,6.35,129.33,papaya
44,59,49,33.66,99.57,6.91,114.46,papaya
20,1,41,20.8,89.78,6.39,122.11,pomegranate
22,79,22,21.58,22.25,6.22,116.15,kidneybeans
44,68,77,18.28,16.73,6.89,76.12,chickpea
20,39,17,28.7,90.52,6.62,47.64,mungbean
20,46,18,26.85,81.56,6.29,49.24,mungbean
20,24,28,35.5,48.46,5.94,103.12,mango
21,53,21,28.1,53.19,6.42,147.35,pigeonpeas
106,5,48,28.25,93.42,5.48,25.83,muskmelon
20,16,26,30.54,40.63,5.34,65.29,mango
17,40,19,28.98,47.95,6.92,68.13,mothbeans
29,72,15,28.47,42.26,6.43,130.58,pigeonpeas
94,8,54,27.19,94.75,6.67,16.66,muskmelon
88,48,47,22.97,95.6,6.69,204.29,rice
16,18,34,18.79,92.2,5.88,106.47,pomegranate
96,14,46,27.86,90.38,6.27,22.08,muskmelon
16,74,22,28.4,55.92,5.53,173.34,pigeonpeas
25,151,178,18.65,91.26,5.54,110.69,apple
13,53,22,29.27,80.03,6.77,38.17,mungbean
85,46,41,22.29,82.43,6.45,265.03,rice
15,70,17,19.18,19.01,6.0,122.88,kidneybeans
16,124,183,22.05,95.23,6.0,122.89,apple
75,56,40,21.34,78.42,6.7,208.09,rice
20,28,30,30.22,49.71,6.25,96.71,mango
59,77,56,31.95,89.91,6.75,171.77,papaya
22,38,20,29.34,55.64,7.16,57.61,mothbeans
115,59,21,25.65,86.13,7.16,93.93,cotton
17,3,41,20.95,92.91,6.17,100.71,pomegranate
9,77,18,28.35,55.99,5.45,125.81,pigeonpeas
51,55,52,34.59,95.47,7.09,152.37,papaya
20,61,21,24.07,55.3,7.33,59.29,lentil
91,46,20,22.15,65.08,5.76,68.4,maize
48,65,75,16.41,11.1,7.62,63.45,chickpea
86,10,52,29.53,95.2,6.07,22.34,muskmelon
124,42,15,22.14,76.25,7.16,97.28,cotton
17,68,24,17.52,17.6,5.85,110.76,kidneybeans
33,63,82,21.84,18.18,6.64,86.67,chickpea
17,36,19,30.91,77.36,6.38,51.26,mungbean
89,17,30,27.09,57.46,6.64,169.29,coffee
92,33,36,23.65,59.54,7.35,168.31,coffee
18,10,10,20.73,92.58,6.96,108.59,orange
89,10,39,26.47,86.98,6.72,46.05,watermelon
17,7,10,21.82,93.95,6.86,135.78,orange
22,136,217,19.24,87.26,5.0,62.31,grapes
89,19,31,24.44,53.1,6.42,163.22,coffee
25,69,23,29.71,47.18,5.67,141.56,pigeonpeas
